URI,Data
http://vgibox.eu/Quantitative_data,3
http://vgibox.eu/Query,3
http://vgibox.eu/Radiometric_correction,3
http://vgibox.eu/Relative_positioning,3
http://vgibox.eu/Resampling_procedure,3
http://vgibox.eu/Sampling_method,3
http://vgibox.eu/Sources_of_errors,3
http://vgibox.eu/Space_segment,3
http://vgibox.eu/Supervised_Image_Classfication_Algorithm,3
http://vgibox.eu/Systems_model,3
http://vgibox.eu/Atmopsheric_correction,4
http://vgibox.eu/Attribute_quality,4
http://vgibox.eu/Coordinate_system,4
http://vgibox.eu/Displayed_image,4
http://vgibox.eu/Fieldwork,4
http://vgibox.eu/Filtering,4
http://vgibox.eu/Image_enhancement,4
http://vgibox.eu/Image_requirement,4
http://vgibox.eu/Kirchoff_law,4
http://vgibox.eu/Platform,4
http://vgibox.eu/Receiver,4
http://vgibox.eu/Reference_surface,4
http://vgibox.eu/Relation,4
http://vgibox.eu/Satellite-based_positioning,4
http://vgibox.eu/Surface_Analysis,4
http://vgibox.eu/Systematic_error,4
http://vgibox.eu/Terrestrial_surveys,4
http://vgibox.eu/Data,5
http://vgibox.eu/Digital_camera,5
http://vgibox.eu/Geographical_representation,5
http://vgibox.eu/Human_Vision,5
http://vgibox.eu/Image,5
http://vgibox.eu/Mapping_procedure,5
http://vgibox.eu/Model_Testing,5
http://vgibox.eu/Planck_equation_for_blackbodies,5
http://vgibox.eu/Set_of_gcp,5
http://vgibox.eu/Digital_Image_Classification,6
http://vgibox.eu/Implementation_logic,6
http://vgibox.eu/Spatial_data,6
http://vgibox.eu/Visual_image_interpretation,6
http://vgibox.eu/Georeferencing,7
http://vgibox.eu/Interpretation_elements,7
http://vgibox.eu/Optical_scanner,7
http://vgibox.eu/Sources_of_em_(any_object),7
http://vgibox.eu/Analysis,8
http://vgibox.eu/Spatial_data_acquisition,9
http://vgibox.eu/Tessellation,9
http://vgibox.eu/Data_attribute,10
http://vgibox.eu/Vector_Representation,12
